epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.525,0.85796,3.27823,1.12019,0.00333,1,0.995,0.97919,0.28866,2.50036,0.82955,0.00044,0.00044,0.00044
1,59.6118,0.87554,3.02648,1.10191,0.99852,1,0.995,0.89764,0.45741,2.40518,0.84112,0.00044,0.00044,0.00044
2,123.182,0.4302,1.39976,0.76417,0.99704,1,0.995,0.90809,0.46527,2.07994,0.8485,0.0008109,0.0008109,0.0008109
2,142.882,0.44181,1.44104,0.82281,0.99817,1,0.995,0.89906,0.32387,2.33628,0.82568,0.0008109,0.0008109,0.0008109
3,295.217,0.41424,1.3811,0.8026,0.99821,1,0.995,0.93131,0.30364,1.50119,0.82319,0.00109072,0.00109072,0.00109072
3,324.781,0.44645,1.39067,0.81122,0.99823,1,0.995,0.89752,0.48195,1.62184,0.84101,0.00109072,0.00109072,0.00109072
4,478.571,0.41835,1.33954,0.79561,0.99928,1,0.995,0.8955,0.44052,1.06946,0.84682,0.00127946,0.00127946,0.00127946
4,506.111,0.4164,1.29408,0.7935,0.99934,1,0.995,0.995,0.29008,1.12209,0.82621,0.00127946,0.00127946,0.00127946
5,656.638,0.38738,1.27893,0.78278,0.99937,1,0.995,0.87173,0.56917,1.06222,0.9001,0.001208,0.001208,0.001208
5,681.801,0.43173,1.28621,0.79887,0.99938,1,0.995,0.995,0.32323,0.94515,0.82853,0.001208,0.001208,0.001208
6,828.285,0.38442,1.1782,0.78603,0.99939,1,0.995,0.93409,0.33829,0.91043,0.83105,0.00101,0.00101,0.00101
6,842.658,0.37558,1.16856,0.76967,0.99934,1,0.995,0.995,0.33093,0.98201,0.8278,0.00101,0.00101,0.00101
7,913.474,0.36854,1.11702,0.78387,0.99938,1,0.995,0.995,0.35319,0.78835,0.8337,0.000812,0.000812,0.000812
7,924.48,0.31393,1.03694,0.7959,0.99931,1,0.995,0.995,0.26754,0.75214,0.82312,0.000812,0.000812,0.000812
8,997.624,0.30226,1.0498,0.75532,0.9994,1,0.995,0.995,0.21115,0.77845,0.81819,0.000614,0.000614,0.000614
8,1009.16,0.32139,1.01948,0.78418,0.99936,1,0.995,0.995,0.20907,0.77922,0.81934,0.000614,0.000614,0.000614
9,1093.22,0.30327,1.03749,0.77218,0.99941,1,0.995,0.995,0.23078,0.74653,0.81975,0.000416,0.000416,0.000416
9,1107.61,0.27118,0.99089,0.76975,0.9994,1,0.995,0.995,0.2177,0.77739,0.82093,0.000416,0.000416,0.000416
10,1198.55,0.28479,1.0038,0.78179,0.99941,1,0.995,0.995,0.26133,0.81247,0.82261,0.000218,0.000218,0.000218
10,1211.31,0.24207,0.9283,0.79258,0.99942,1,0.995,0.995,0.22093,0.68263,0.81938,0.000218,0.000218,0.000218
